Sample,Sandbox ID,Rows,Average TS,Min TS,Max TS,Median TS,Std TS,Average Time Between Commands,Min Time Between Commands,Max Time Between Commands,Median Time Between Commands,Std Time Between Commands,Average Command Length,Min Command Length,Max Command Length,Median Command Length,Std Command Length,Average Time Per Character
Kobylka 3302,28,44,1.017504160816487,0.03514104737891713,3.5526983589917105,0.6313424472828932,1.0219307972704135,28.031590909090912,1.902,127.561,15.5695,31.993079663997527,11.0,2,28,12.0,6.495078637832487,2.548326446280992
Kobylka 3302,29,35,343.7305478969732,0.026460626587637596,12000.0,0.5687203791469194,2028.2185166243182,35.282714285714285,0.001,123.319,19.818,37.24605392566592,11.657142857142857,2,31,12.0,7.475225187018693,3.026703431372549
Kobylka 3302,30,25,2.6359546895595867,0.07619213479477104,31.674208144796378,1.0384215991692627,6.206409864830298,29.992039999999996,0.663,91.873,12.198,29.98233516934041,17.12,3,39,15.0,9.934451838593478,1.7518714953271026
Kobylka 3302,31,110,356.8185824582459,0.03036252859138109,23000.0,1.38643171478923,2462.556665570418,17.61066363636364,0.001,122.145,7.909,24.37992959035722,12.472727272727273,2,39,10.0,9.487518687326451,1.411933673469388
Kobylka 3302,42,181,692.1540196293702,0.1324880200192048,37735.84905660377,1.4435747635572176,3982.808306335021,23.075495563535913,0.00032,121.551723,9.852773,30.055829016666962,31.2707182320442,3,1049,17.0,108.55335950599057,0.7379266249116608
Kobylka 3302,43,102,1.4023016975003444,0.029265965967252026,7.805429101690905,0.7898487580749587,1.538792515141281,28.431155882352943,0.533358,114.433836,21.789439,26.822772965034915,14.676470588235293,2,53,12.0,9.815285880954715,1.9371929859719441
Kobylka 3302,44,47,1.925362316485108,0.019042423730356157,10.485642533960375,1.2124333422671707,2.0261868690874483,25.222298468085107,0.815903,122.385806,12.829276,33.98117431980279,15.851063829787234,2,56,13.0,11.896252101441638,1.5912054067114094
Kobylka 3302,50,9,6.326314807610417,0.18961794638454763,41.22145046506629,1.6433200081320865,13.260899126514925,36.38957144444444,1.358516,100.201486,29.817686,31.757295590764784,42.333333333333336,19,83,48.0,21.988633427296023,0.8595961758530183
Kobylka 3302,54,177,628.0697361645385,0.029836601344566546,3029.872650665152,1.4621409310854963,1008.3645537770258,23.34270003954802,0.021123,128.469631,10.696604,30.364008930548,31.943502824858758,2,143,21.0,25.08864228593115,0.730749541386629
Kobylka 3302,56,68,1.3595625242884335,0.015830946765338635,4.662231071827497,0.9490519319954729,1.1934177863658917,28.898079808823532,0.461031,126.334832,18.946020500000003,29.369858318415687,17.176470588235293,2,60,13.0,13.112533797142778,1.6824224546232878
Kobylka 3302,66,104,237.23389120023876,0.0341553326464696,2046.2773492838028,4.9428679004824865,405.86436143650496,17.666957634615386,0.026324,127.311007,6.7725729999999995,26.98104382370031,34.30769230769231,2,90,18.0,28.147005539425418,0.5149561642376682
Kobylka 3302,69,57,0.7604445260039142,0.057161313169896054,2.6620737021725183,0.6197681496933449,0.599075076516216,23.059542929824563,1.282582,98.099041,15.547813,23.634457264983478,8.894736842105264,2,21,9.0,5.293811112065254,2.592492992110454
Kobylka 3302,70,56,0.8870473136849905,0.021825626340911918,3.865137618224897,0.43466836445388063,0.9408375127706456,40.15612225,0.849579,119.991056,30.4503695,32.14439343361851,17.464285714285715,2,60,18.0,10.984227180518744,2.2993280633946833
Kobylka 3302,71,206,1079.5678064353344,0.02855536740106693,8235.703514673472,576.7488163547208,1198.2711910867095,11.849343941747573,0.018197,106.47982,0.0553185,22.170682161498707,41.932038834951456,2,284,53.0,30.698140767065716,0.28258449316971523
Kobylka 3302,73,135,1.9348478494611143,0.024362326162164875,19.449322982959337,1.18102672689728,2.5975964415951522,27.531382266666668,1.729101,122.65459,16.797294,27.335305553510644,26.496296296296297,2,80,17.0,23.129381093369094,1.0390653077998324
Kobylka 3302,77,105,2.226596097955139,0.016830244157445957,9.496946731625782,1.4862929931579327,2.3086190154804935,19.826615838095236,0.105297,124.837061,7.45104,28.868098841922585,13.39047619047619,1,96,11.0,14.114569149324476,1.480650542674253
Kobylka 3302,79,1,2.277299305207968,2.277299305207968,2.277299305207968,2.277299305207968,,8.343216,8.343216,8.343216,8.343216,,19.0,19,19,19.0,,0.43911663157894737
Kobylka 3302,80,36,1.619633391571527,0.03072864201511551,11.435214743803542,0.9252621433478516,2.1840648804680773,28.982299916666665,0.959901,119.90447,19.735347,29.20210335751394,20.166666666666668,2,153,13.0,25.331516225558122,1.437138838842975
Kobylka 3302,84,72,1.3666564383470379,0.015408195019552115,4.44915489891679,1.0335430197334108,1.1254370508402178,22.439445819444447,0.491681,129.801057,9.235897999999999,27.26957338703121,13.333333333333334,2,62,13.0,9.519438970331137,1.6829584364583334
Kobylka 3302,85,105,5.023730093654724,0.05651826571440925,31.601851010147318,3.4676047693435996,5.358423917148351,20.594551152380955,1.177642,129.004717,11.175731,25.24481840959542,47.838095238095235,2,83,59.0,25.62868127760974,0.43050525004977114
Kobylka 3302,86,114,2.5253316834521797,0.02413454196223335,16.975896014595694,1.799169989540357,2.74545067143904,20.296059999999997,0.326605,124.303167,10.599833499999999,24.63410892742822,22.75438596491228,2,86,17.5,18.34312169006242,0.8919625443330762
Kobylka 3302,87,69,12.521080128322346,0.038808316893968596,636.34820974037,1.2799839611272914,77.62867943037313,23.858443695652177,0.023572,107.112931,8.822824,28.707575596609974,12.014492753623188,2,58,10.0,10.412792971124777,1.9858053256936068
Kobylka 3302,91,18,1.0866996956693482,0.23846640032266092,4.258138278072752,0.6890326583000539,1.1048363125736191,30.415466777777777,2.818133,113.223498,23.361561000000002,27.61878870669751,18.444444444444443,7,40,15.5,9.641956246604623,1.649031331325301
Kobylka 3302,92,73,2.713684125144328,0.050530680789250826,11.530418940815716,2.090646786009496,2.5377097809015012,18.886080178082196,0.357005,115.940267,7.330034,25.082072624892245,14.465753424657533,2,52,12.0,10.011218973094387,1.3055718304924244
SQL injection,116,59,0.9930224313249696,0.026093536630976508,4.7664442326024785,0.6186113647745014,0.9895776409590948,40.358661016949156,1.769,123.85,25.067,36.72758201604317,20.25423728813559,2,52,13.0,16.781140091492883,1.9926033472803348
SQL injection,117,9,1.681135755997055,0.25895714259290087,6.0614807331505265,1.4466296972410704,1.809312501497872,40.73444444444445,6.929,108.126,29.998,30.644413018979137,35.333333333333336,17,54,36.0,11.683321445547923,1.1528616352201257
