sample,sandbox_id,n_pairs,session_start,session_end,mean_ts,median_ts,std_ts,min_ts,max_ts,mean_dt,median_dt,std_dt,min_dt,max_dt,mean_len,median_len,std_len,min_len,max_len,mean_spc_pairs,median_spc_pairs,std_spc_pairs,session_duration_s,total_time_diff,total_cmd_len,avg_time_per_char,mean_spc,median_spc,std_spc,mean_cps,std_cps
Junior hacker adaptive,62,72,2021-05-26 11:39:03.505000+00:00,2021-05-26 12:39:27.630000+00:00,0.9904531409800668,0.8201170001162135,0.81810182807662,0.02276271012826787,3.643540306664643,20.824027777777776,11.129,22.765455183003883,0.974,87.94,12.847222222222221,6.0,17.726132314274345,2,84,4.066491564815149,1.2196833333333332,7.275067702700258,3624.125,1499.33,925,1.6208972972972973,4.066491564815149,1.2196833333333332,7.275067702700258,0.9904531409800668,0.81810182807662
Junior hacker adaptive,63,95,2021-05-26 12:14:30.017000+00:00,2021-05-26 13:38:28.947000+00:00,0.9309149482712926,0.7528986598403855,0.8393987612770867,0.051939957409234926,6.451612903225807,18.879957894736844,8.162,22.153061950081884,1.366,94.422,12.421052631578947,5.0,16.26743185956871,2,68,2.275389575167747,1.3282,2.927150270412352,5038.93,1793.596,1180,1.5199966101694915,2.275389575167747,1.3282,2.927150270412352,0.9309149482712926,0.8393987612770867
Junior hacker adaptive,64,47,2021-05-26 11:27:02.741000+00:00,2021-05-26 12:06:09.013000+00:00,1.3312230332075186,1.032386341911062,1.040372805973671,0.05402777027392079,3.7099003418927765,18.267361702127662,8.301,23.82441533880512,0.655,93.237,11.148936170212766,6.0,13.395292364831587,2,54,2.4973208027064255,0.9686296296296296,4.15009270453694,2346.272,858.566,524,1.6384847328244276,2.4973208027064255,0.9686296296296296,4.15009270453694,1.3312230332075186,1.040372805973671
Junior hacker adaptive,65,103,2021-05-26 11:48:09.350000+00:00,2021-05-26 12:27:54.685000+00:00,1.8251697015265673,1.6764459346186085,1.4020612749259067,0.042800890258517375,8.85608856088561,11.75616504854369,5.259,13.725662906307658,0.73,52.811,13.058252427184467,7.0,15.428408507455028,2,80,1.6759937465647918,0.5965,3.3009777536271616,2385.335,1210.885,1345,0.9002862453531598,1.6759937465647918,0.5965,3.3009777536271616,1.8251697015265673,1.4020612749259067
Junior hacker adaptive,66,115,2021-05-26 11:31:59.541000+00:00,2021-05-26 12:48:20.924000+00:00,1.5274765122622436,1.4716703458425313,1.1298080387885006,0.03194020793075363,6.564551422319474,11.895382608695652,4.486,15.854489207406365,0.603,64.058,9.504347826086956,6.0,11.92180216643019,2,51,2.1085307962884,0.6795,4.265674911697172,4581.383,1367.969,1093,1.251572735590119,2.1085307962884,0.6795,4.265674911697172,1.5274765122622436,1.1298080387885006
Junior hacker adaptive,67,109,2021-05-26 11:42:16.133000+00:00,2021-05-26 12:23:24.699000+00:00,1.7895452453186012,1.592356687898089,1.053080711641819,0.08783872809521719,6.5047701647875105,5.0169999999999995,3.116,5.1829039532764725,0.483,26.576,7.761467889908257,5.0,9.764731589272358,2,59,0.9328734935364441,0.628,1.2907187482405997,2468.566,546.853,846,0.6463983451536642,0.9328734935364441,0.628,1.2907187482405997,1.7895452453186012,1.053080711641819
Junior hacker adaptive,68,34,2020-12-04 08:59:13.113000+00:00,2020-12-04 09:47:57.407000+00:00,1818.4606813399585,3.5459120824974484,4167.057752188193,0.04096849522717031,17000.0,11.783441176470589,1.0614999999999999,22.09008461675108,0.001,83.03,8.441176470588236,5.0,10.935599847677333,2,48,2.0468444459299078,0.2821,5.048954748865129,2924.294,400.637,287,1.3959477351916376,2.0468444459299078,0.2821,5.048954748865129,1818.4606813399585,4167.057752188193
Junior hacker adaptive,69,16,2020-12-04 08:44:39.224000+00:00,2020-12-04 09:40:08.573000+00:00,4104.742272116384,1.4672417861217262,6722.409857367358,0.061100685200541176,18000.0,29.926312499999998,3.6965000000000003,51.71161308863964,0.001,178.13,12.75,12.5,7.353003921300917,2,25,2.6437263705595875,0.6893571428571429,4.605006623803891,3329.349,478.82099999999997,204,2.347161764705882,2.6437263705595875,0.6893571428571429,4.605006623803891,4104.742272116384,6722.409857367358
Junior hacker adaptive,70,4,2020-12-04 08:58:49.595000+00:00,2020-12-04 09:15:49.488000+00:00,13000.098808220844,15500.0,9486.65244896198,0.39523288337589685,21000.0,8.22375,0.001,16.445500000000003,0.001,32.892,16.25,16.0,4.425306015783918,12,21,0.6325843575284366,6.798245614035087e-05,1.2650463258487867,1019.893,32.895,65,0.5060769230769231,0.6325843575284366,6.798245614035087e-05,1.2650463258487867,13000.098808220844,9486.65244896198
Junior hacker adaptive,71,29,2020-12-04 09:00:38.767000+00:00,2020-12-04 10:29:07.421000+00:00,3639.1063941742573,1.9388516032811334,8693.594325141901,0.02673439379762064,33000.0,19.248344827586205,7.891,29.034718775577065,0.001,112.215,19.03448275862069,15.0,15.14803796493764,2,55,2.152222658450492,0.5157692307692308,6.868049772213468,5308.654,558.202,552,1.0112355072463768,2.152222658450492,0.5157692307692308,6.868049772213468,3639.1063941742573,8693.594325141901
