sample,sandbox_id,session_day,n_pairs,session_start,session_end,mean_ts,median_ts,std_ts,min_ts,max_ts,mean_dt,median_dt,std_dt,min_dt,max_dt,mean_len,median_len,std_len,min_len,max_len,mean_spc_pairs,median_spc_pairs,std_spc_pairs,session_duration_s,total_time_diff,total_cmd_len,avg_time_per_char,mean_spc,median_spc,std_spc,mean_cps,std_cps,prop_dt_lt_0p1,prop_ts_gt_20,prop_ts_gt_100,ts_q95,ts_q99,dt_q95,dt_q99,prop_dt_gt_30,active_time_s,ts_cv,dt_cv,len_q95,len_q99,breakiness_ratio
House of cards,148,2019-09-19,28,2019-09-19 10:31:43.046234+00:00,2019-09-19 15:10:56.680638+00:00,0.9433158075420883,0.5927856845800581,1.0078277842825432,0.01979801265668141,3.5559759509346436,85.1453065357143,22.610226,91.10399090940383,2.249734,263.913928,19.678571428571427,17.5,14.90973723947758,3,65,6.377348320894236,1.7175438958333333,10.781501679672314,16753.634404,2384.068583,551,4.326803235934665,6.377348320894236,1.7175438958333333,10.781501679672314,0.9433158075420883,1.0078277842825432,0.0,0.0,0.0,2.9498074330230755,3.42632472331681,247.15060864999992,263.9030362,0.4642857142857143,2384.0685829999998,1.0683885250566805,1.0699825347529894,54.0,62.03,7.027329047270115
House of cards,149,2019-09-19,30,2019-09-19 10:54:09.058504+00:00,2019-09-19 22:34:25.635826+00:00,0.8830573361305029,0.5162158540070216,1.068801722210994,0.029257332886027724,4.458408720971706,67.81578836666667,45.833993,78.0765069316928,2.319226,304.186845,17.466666666666665,14.5,11.119207777948725,2,45,5.183071317589545,1.937197253787879,7.2720945510937804,42016.577322,2034.473651,524,3.8825833034351147,5.183071317589545,1.937197253787879,7.2720945510937804,0.8830573361305029,1.068801722210994,0.0,0.0,0.0,3.0914874384222557,4.257389985417805,232.5289835499997,296.23696625,0.5333333333333333,2034.4736510000005,1.2103423848947459,1.151302798539308,44.55,45.0,20.65230842451446
House of cards,149,2019-09-23,16,2019-09-23 17:00:35.122324+00:00,2019-09-23 17:32:10.172559+00:00,0.9055381150619082,0.4637409329473631,1.127542607380184,0.06374650554405908,4.1580404652182,63.32626875,24.6284095,72.1072816742664,2.404979,236.907184,20.25,20.0,14.959946523968593,1,49,4.0817449180626415,2.2614975333333334,4.487991539447183,1895.050235,1013.2203,324,3.127223148148148,4.0817449180626415,2.2614975333333334,4.487991539447183,0.9055381150619082,1.127542607380184,0.0,0.0,0.0,2.906443630001441,3.9077210981748474,180.0030175,225.52635069999997,0.4375,1013.2203,1.2451630567787841,1.1386630398031532,49.0,49.0,1.8703239907451519
House of cards,151,2019-09-19,22,2019-09-19 10:29:09.992664+00:00,2019-09-19 11:09:19.130879+00:00,1.1134767161622783,0.6924299509324054,1.3011938801797767,0.08307449299280893,5.714213711006718,41.17864436363636,25.619502500000003,40.05159017469582,2.508795,155.745118,20.181818181818183,19.5,13.879194307741159,3,46,2.6878638828229144,1.448218745923913,2.9860776574189023,2409.138215,905.930176,444,2.040383279279279,2.6878638828229144,1.448218745923913,2.9860776574189023,1.1134767161622783,1.3011938801797767,0.0,0.0,0.0,2.774376457142688,5.100167499462101,103.38634424999998,144.90913836999994,0.45454545454545453,905.930176,1.1685865194060692,0.9726301288845778,45.64999999999999,46.0,2.6592979004598254
House of cards,152,2019-09-19,19,2019-09-19 10:33:09.512341+00:00,2019-09-19 11:34:55.805781+00:00,0.5811472596822171,0.29927630287052576,0.6536009493017638,0.023816063114504293,2.2484610488653223,82.07635810526317,55.243509,81.1508956230702,3.112377,251.930807,14.31578947368421,14.0,9.339596895767965,3,45,7.938296015959034,3.341393857142857,10.745629914255177,3706.29344,1559.450804,272,5.733275014705883,7.938296015959034,3.341393857142857,10.745629914255177,0.5811472596822171,0.6536009493017638,0.0,0.0,0.0,2.1210114866252554,2.222971136417309,223.63123579999993,246.27089276,0.631578947368421,1559.4508039999998,1.1246735460116697,0.9887243719926503,23.39999999999995,40.68000000000001,2.3766658303637005
House of cards,152,2019-09-20,36,2019-09-20 10:12:39.043000+00:00,2019-09-20 15:07:16.007549+00:00,1.0191086069425044,0.784263009115225,0.8771157172793578,0.042572494492422994,3.5861452148540285,35.250442638888885,12.399390499999999,43.34380824988402,3.760641,163.21755,13.5,12.0,9.345740053246566,3,45,3.2054173918347084,1.2754588888888887,4.531537014974399,17676.964549,1269.015935,486,2.6111438991769544,3.2054173918347084,1.2754588888888887,4.531537014974399,1.0191086069425044,0.8771157172793578,0.0,0.0,0.0,2.5785320650919297,3.2809821238270938,126.40159425,150.45875744999995,0.3333333333333333,1269.0159350000001,0.8606695216821403,1.2295961413564318,27.0,45.0,13.929663183465067
House of cards,152,2019-09-25,16,2019-09-25 15:01:51.025726+00:00,2019-09-25 15:25:28.053407+00:00,1.1930058745800922,0.9271174618087932,0.9001356129207805,0.3020039813939877,3.2815870805229275,18.6932839375,11.702252,16.02486913576391,3.047306,53.064738,15.9375,12.0,11.601544437415793,3,45,1.4228508591911764,1.0976157,0.996417234567998,1417.027681,299.092543,255,1.1729119333333333,1.4228508591911764,1.0976157,0.996417234567998,1.1930058745800922,0.9001356129207805,0.0,0.0,0.0,2.859485122858061,3.197166688989954,52.91544675,53.034879749999995,0.1875,299.092543,0.7545106290759932,0.8572527539485418,37.5,43.5,4.73775663808509
House of cards,156,2019-09-19,29,2019-09-19 10:29:29.224350+00:00,2019-09-19 11:06:41.812821+00:00,0.7247734836562892,0.436284502287367,0.8871492784436276,0.0523219523204001,3.089061576791824,63.405781,38.776109,68.54156394545942,2.579216,229.34924,12.482758620689655,11.0,8.773420450653262,3,45,4.653100602392082,2.292082333333333,4.863823341725843,2232.588471,1838.767649,362,5.0794686436464085,4.653100602392082,2.292082333333333,4.863823341725843,0.7247734836562892,0.8871492784436276,0.0,0.0,0.0,2.666575838775958,2.9840451794536107,199.8472818,221.22911539999998,0.6206896551724138,1838.767649,1.224036610677581,1.080998654451704,21.599999999999998,38.559999999999974,1.2141765014270165
House of cards,396,2019-08-14,97,2019-08-14 15:40:19.345589+00:00,2019-08-14 17:18:08.962639+00:00,30.80347599205099,1.7403431260507323,168.70617463828117,0.13451040097191835,1303.4410844629822,10.62889192783505,7.095561,10.332937744234776,0.015344,52.638323,16.432989690721648,13.0,16.047395438003097,3,95,0.9397574726528731,0.5745993333333334,1.0911855435634996,5869.61705,1031.002517,1594,0.6468020809284818,0.9397574726528731,0.5745993333333334,1.0911855435634996,30.80347599205099,168.70617463828117,0.030927835051546393,0.030927835051546393,0.030927835051546393,9.85045312774426,917.2752993961792,28.80137559999995,49.63533547999997,0.05154639175257732,1031.0025170000001,5.476855101736463,0.9721556879485032,35.59999999999985,94.03999999999999,5.693116120685474
House of cards,397,2019-08-14,93,2019-08-14 15:39:27.135735+00:00,2019-08-14 16:52:34.513451+00:00,77.6744796699969,1.3722769522483642,367.45622910559496,0.05649115048238829,2245.7779374775423,15.218093376344086,9.911995,14.662655321933217,0.021123,56.087764,17.053763440860216,12.0,14.963263413671156,3,62,1.4768201197919595,0.728715875,2.29379330843574,4387.377716,1415.282684,1586,0.8923598259773013,1.4768201197919595,0.728715875,2.29379330843574,77.6744796699969,367.45622910559496,0.043010752688172046,0.043010752688172046,0.043010752688172046,10.04246243860764,1862.794324277383,50.355610999999996,54.02873775999999,0.15053763440860216,1415.2826839999998,4.730720188493662,0.963501468897919,51.199999999999974,62.0,3.1000009860927547
